month,recorded_logged_hours,billable_hours,logged_based_utilization
2019-05-01,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0
2020-08-01,336.0,248.0,73.80952380952381
2020-09-01,352.0,352.0,100.0
2020-10-01,560.0,552.0,98.57142857142858
2020-11-01,672.0,656.0,97.61904761904762
2020-12-01,638.0,538.0,84.32601880877742
2021-01-01,628.0,484.0,77.07006369426752
2021-02-01,643.0,533.0,82.89269051321928
2021-03-01,736.0,624.0,84.78260869565217
2021-04-01,656.0,424.0,64.63414634146342
2021-05-01,654.0,442.0,67.58409785932722
2021-06-01,675.0,487.0,72.14814814814815
2021-07-01,708.0,143.0,20.19774011299435
2021-08-01,711.0,250.0,35.16174402250351
2021-09-01,731.0,602.0,82.35294117647058
2021-10-01,666.0,616.0,92.49249249249249
2021-11-01,730.0,536.0,73.42465753424658
2021-12-01,914.0,501.0,54.81400437636762
2022-01-01,829.0,491.01666666666665,59.22999597909128
2022-02-01,837.0,564.0,67.38351254480287
2022-03-01,957.05,602.55,62.95909304634032
2022-04-01,782.0,568.4,72.6854219948849
2022-05-01,856.0,577.0,67.40654205607477
2022-06-01,839.6,409.0,48.71367317770366
2022-07-01,840.0,181.6,21.619047619047617
2022-08-01,917.0,469.0,51.14503816793893
2022-09-01,882.0,654.0,74.14965986394559
2022-10-01,840.0,584.0,69.52380952380952
2022-11-01,880.0,585.0,66.47727272727273
2022-12-01,1016.0,474.0,46.653543307086615
2023-01-01,1016.0,566.0,55.70866141732284
2023-02-01,965.0,615.0,63.730569948186535
2023-03-01,1227.5,810.5,66.02851323828921
2023-04-01,1024.0,576.75,56.3232421875
2023-05-01,1172.0,734.0,62.62798634812287
2023-06-01,1129.0,584.75,51.79362267493357
2023-07-01,1173.0,280.5,23.91304347826087
2023-08-01,1345.5,432.0,32.10702341137124
2023-09-01,1504.0,733.25,48.753324468085104
2023-10-01,1408.0,962.5,68.359375
2023-11-01,1408.0,939.0,66.6903409090909
2023-12-01,1514.0,691.0,45.640686922060766
2024-01-01,1760.0,648.0,36.81818181818181
2024-02-01,1683.0,845.0,50.20796197266786
2024-03-01,1632.0,899.0,55.0857843137255
2024-04-01,1704.0,626.0,36.73708920187793
2024-05-01,1713.0,629.0,36.719206071220086
2024-06-01,1443.0,560.0,38.80803880803881
2024-07-01,1840.0,390.0,21.195652173913043
2024-08-01,1838.0,577.0,31.392818280739938
2024-09-01,1844.0,1085.0,58.839479392624725
2024-10-01,2031.0,1535.0,75.57853274249139
2024-11-01,1855.0,1314.0,70.8355795148248
2024-12-01,1587.0,965.0,60.80655324511657
2025-01-01,1866.0,1323.0,70.90032154340837
2025-02-01,1778.0,1252.0,70.4161979752531
2025-03-01,1856.0,1318.0,71.01293103448276
2025-04-01,1762.0,1399.5,79.42678774120317
2025-05-01,200.0,40.0,20.0
2025-06-01,160.0,0.0,0.0
2025-07-01,184.0,0.0,0.0
2025-08-01,168.0,0.0,0.0
2025-09-01,176.0,0.0,0.0
2025-10-01,184.0,0.0,0.0
2025-11-01,160.0,0.0,0.0
2025-12-01,0.0,0.0,0.0
2026-01-01,0.0,0.0,0.0
2026-02-01,0.0,0.0,0.0
2026-03-01,0.0,0.0,0.0
2026-04-01,0.0,0.0,0.0
2026-05-01,0.0,0.0,0.0
2026-06-01,0.0,0.0,0.0
